Model Year,BD,CNG,E85_GSLN,ELEC,HYBR,PHEV,Other
2000-01-01,,15.0,8.0,12.0,2.0,,2.0
2001-01-01,,16.0,11.0,10.0,2.0,,5.0
2002-01-01,,18.0,16.0,6.0,3.0,,5.0
2003-01-01,,16.0,22.0,5.0,3.0,,1.0
2004-01-01,,16.0,19.0,1.0,3.0,,1.0
2005-01-01,,5.0,24.0,,8.0,,0.0
2006-01-01,,4.0,22.0,,10.0,,0.0
2007-01-01,,1.0,31.0,,13.0,,1.0
2008-01-01,,1.0,31.0,,16.0,,2.0
2009-01-01,,1.0,36.0,1.0,19.0,,2.0
2010-01-01,,2.0,34.0,1.0,20.0,,0.0
2011-01-01,,3.0,75.0,4.0,32.0,1.0,2.0
2012-01-01,8.0,5.0,62.0,9.0,31.0,3.0,5.0
2013-01-01,8.0,4.0,84.0,10.0,38.0,4.0,14.0
2014-01-01,11.0,4.0,90.0,13.0,36.0,10.0,31.0
2015-01-01,17.0,13.0,84.0,11.0,35.0,14.0,18.0
2016-01-01,12.0,12.0,66.0,13.0,31.0,16.0,8.0
2017-01-01,21.0,9.0,45.0,30.0,44.0,24.0,10.0
2018-01-01,33.0,9.0,53.0,22.0,43.0,35.0,9.0
2019-01-01,26.0,7.0,40.0,37.0,64.0,35.0,11.0
2020-01-01,17.0,5.0,25.0,36.0,81.0,47.0,17.0
2021-01-01,25.0,2.0,14.0,45.0,127.0,50.0,11.0
2022-01-01,22.0,,17.0,89.0,149.0,43.0,5.0
2023-01-01,12.0,,10.0,76.0,127.0,40.0,5.0
2024-01-01,12.0,,5.0,137.0,148.0,21.0,2.0
2025-01-01,4.0,,6.0,108.0,140.0,26.0,0.0
