Vehicle ID,Fuel ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Engine Type,Engine Size,Engine Cylinder Count,Engine/Motor(s) Description,Manufacturer,Manufacturer URL,Category,Fuel Code,Fuel,Electric-Only Range,Total Range,PHEV Type,Notes,Drivetrain,Charging Rate Level 2 (kW),Charging Rate DC Fast (kW),Charging Speed Level 1 (miles added per hour of charging),Charging Speed Level 2 (miles added per hour of charging),Charging Speed DC Fast (miles added per hour of charging),Battery Voltage,Battery Capacity Amp Hours,Battery Capacity kWh,Seating Capacity
13939,57,490,29,Tonale eAWD,2025,,,77,29,29,29,SI,1.3L,4,"1.3L I4;
89 kW electric motor",Alfa Romeo,,SUV,PHEV,Plug-in Hybrid Electric,33,360,Blended,,AWD,6.6,,3,15,,304,51,15.5,5
13717,45,377,27,A4 quattro/S-Line/Allroad,2025,,,,,,26-29,SI,2.0L,4,2.0L I4,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,Includes Allroad and S-Line models,AWD,,,,,,,,,
13718,45,377,27,A5 Sportback quattro,2025,,,,,,26-29,SI,2.0L,4,2.0L I4,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,Includes S-Line model,AWD,,,,,,,,,
13719,45,377,27,A6 quattro,2025,,,,24,31,26,SI,2.0L,4,2.0L I4,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,
13720,45,377,27,A6 quattro/Allroad,2025,,,,22,30,25,SI,3.0L,6,3.0L V6,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,
13721,45,377,27,A7 quattro,2025,,,,22,30,25,SI,3.0L,6,3.0L V6,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,
13722,45,377,27,A8 quattro,2025,,,,20,26,22,SI,3.0L,6,3.0L V6,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,
13830,41,377,29,Q4 45 e-tron,2025,125,104,115,,,,e-motor,210 kW,,210 kW electric motor,Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,288,,,,RWD,11,150,3,31,282,350,233,81.6,5
13972,41,377,29,Q4 55 e-tron quattro,2025,107,92,100,,,,e-motor,80 and 170 kW,,80 and 170 kW electric motors,Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,258,,,Includes standard and Sportback model,AWD,11,150,3,31,282,350,233,81.6,5
13940,57,377,29,Q5 Plug-In Hybrid quattro,2025,,,58,25,27,26,SI,2.0L,4,2.0L I4; 105 kW electric motor,Audi,https://www.audiusa.com/us/web/en.html,SUV,PHEV,Plug-in Hybrid Electric,23,390,Blended,,AWD,7.4,,2,14,,374,48,18,5
