date,value
2000-01-01,2.89669
2000-02-01,2.93805
2000-03-01,2.88043
2000-04-01,2.85888
2000-05-01,2.86031
2000-06-01,2.83779
2000-07-01,2.82441
2000-08-01,2.83849
2000-09-01,2.90389
2000-10-01,2.84007
2000-11-01,2.78865
2000-12-01,2.76197
2001-01-01,2.84787
2001-02-01,2.85836
2001-03-01,2.82542
2001-04-01,2.80524
2001-05-01,2.80354
2001-06-01,2.83931
2001-07-01,2.78025
2001-08-01,2.77359
2001-09-01,2.77608
2001-10-01,3.07773
2001-11-01,2.87498
2001-12-01,2.78173
2002-01-01,2.78625
2002-02-01,2.83351
2002-03-01,2.82066
2002-04-01,2.85319
2002-05-01,2.76279
2002-06-01,2.81097
2002-07-01,2.88083
2002-08-01,2.89619
2002-09-01,2.79276
2002-10-01,2.76776
2002-11-01,2.7847
2002-12-01,2.8675
2003-01-01,2.79887
2003-02-01,2.7609
2003-03-01,2.78334
2003-04-01,2.79929
2003-05-01,2.78204
2003-06-01,2.81457
2003-07-01,2.82001
2003-08-01,2.88653
2003-09-01,2.82997
2003-10-01,2.78149
2003-11-01,2.84473
2003-12-01,2.83274
2004-01-01,2.79141
2004-02-01,2.81145
2004-03-01,2.82358
2004-04-01,2.80294
2004-05-01,2.87689
2004-06-01,2.75754
2004-07-01,2.82554
2004-08-01,2.81643
2004-09-01,2.85831
2004-10-01,2.8365
2004-11-01,2.82802
2004-12-01,2.86943
2005-01-01,2.79545
2005-02-01,2.79746
2005-03-01,2.82909
2005-04-01,2.8492
2005-05-01,2.82897
2005-06-01,2.88854
2005-07-01,3.02563
2005-08-01,2.82832
2005-09-01,2.79893
2005-10-01,2.6978
2005-11-01,2.77396
2005-12-01,2.81469
2006-01-01,2.86631
2006-02-01,2.80427
2006-03-01,2.79783
2006-04-01,2.80747
2006-05-01,2.78316
2006-06-01,2.79435
2006-07-01,2.84054
2006-08-01,2.76638
2006-09-01,2.79844
2006-10-01,2.79251
2006-11-01,2.78056
2006-12-01,2.80753
2007-01-01,2.7974
2007-02-01,2.81565
2007-03-01,2.77353
2007-04-01,2.78594
2007-05-01,2.79092
2007-06-01,2.76146
2007-07-01,2.74078
2007-08-01,2.77471
2007-09-01,2.78501
2007-10-01,2.78049
2007-11-01,2.77496
2007-12-01,2.75481
2008-01-01,2.73326
2008-02-01,2.71906
2008-03-01,2.69429
2008-04-01,2.65802
2008-05-01,2.66473
2008-06-01,2.64369
2008-07-01,2.54278
2008-08-01,2.62713
2008-09-01,2.54066
2008-10-01,2.36706
2008-11-01,2.32777
2008-12-01,2.31659
2009-01-01,2.25895
2009-02-01,2.19978
2009-03-01,2.25675
2009-04-01,2.21888
2009-05-01,2.30219
2009-06-01,2.29818
2009-07-01,2.43098
2009-08-01,2.67883
2009-09-01,2.23506
2009-10-01,2.33901
2009-11-01,2.38112
2009-12-01,2.40333
2010-01-01,2.36734
2010-02-01,2.31333
2010-03-01,2.44695
2010-04-01,2.42028
2010-05-01,2.46988
2010-06-01,2.4323
2010-07-01,2.46087
2010-08-01,2.46827
2010-09-01,2.45985
2010-10-01,2.50135
2010-11-01,2.49072
2010-12-01,2.51632
2011-01-01,2.52948
2011-02-01,2.55062
2011-03-01,2.56372
2011-04-01,2.56779
2011-05-01,2.48324
2011-06-01,2.44937
2011-07-01,2.51923
2011-08-01,2.50773
2011-09-01,2.56695
2011-10-01,2.59458
2011-11-01,2.5957
2011-12-01,2.59935
2012-01-01,2.64319
2012-02-01,2.68219
2012-03-01,2.65584
2012-04-01,2.66778
2012-05-01,2.64865
2012-06-01,2.64745
2012-07-01,2.64098
2012-08-01,2.64561
2012-09-01,2.69185
2012-10-01,2.67511
2012-11-01,2.71668
2012-12-01,2.71608
2013-01-01,2.73916
2013-02-01,2.74187
2013-03-01,2.73515
2013-04-01,2.73767
2013-05-01,2.74322
2013-06-01,2.75836
2013-07-01,2.752
2013-08-01,2.73994
2013-09-01,2.74123
2013-10-01,2.73138
2013-11-01,2.75455
2013-12-01,2.73845
2014-01-01,2.72451
2014-02-01,2.74836
2014-03-01,2.80976
2014-04-01,2.78994
2014-05-01,2.81762
2014-06-01,2.84054
2014-07-01,2.82441
2014-08-01,2.82185
2014-09-01,2.805
2014-10-01,2.79276
2014-11-01,2.80602
2014-12-01,2.81882
2015-01-01,2.80178
2015-02-01,2.80099
2015-03-01,2.85986
2015-04-01,2.84775
2015-05-01,2.86151
2015-06-01,2.85653
2015-07-01,2.88071
2015-08-01,2.88703
2015-09-01,2.88105
2015-10-01,2.88021
2015-11-01,2.88273
2015-12-01,2.83797
2016-01-01,2.86847
2016-02-01,2.87017
2016-03-01,2.82293
2016-04-01,2.84764
2016-05-01,2.85001
2016-06-01,2.85267
2016-07-01,2.87605
2016-08-01,2.86454
2016-09-01,2.86642
2016-10-01,2.86824
2016-11-01,2.8571
2016-12-01,2.88514
2017-01-01,2.85013
2017-02-01,2.85152
2017-03-01,2.81277
2017-04-01,2.81965
2017-05-01,2.81325
2017-06-01,2.81559
2017-07-01,2.82388
2017-08-01,2.81025
2017-09-01,2.88441
2017-10-01,2.89364
2017-11-01,2.86505
2017-12-01,2.85905
2018-01-01,2.8181
2018-02-01,2.83168
2018-03-01,2.84468
2018-04-01,2.84007
2018-05-01,2.85313
2018-06-01,2.84781
2018-07-01,2.84124
2018-08-01,2.8358
2018-09-01,2.84955
2018-10-01,2.86043
2018-11-01,2.86517
2018-12-01,2.8675
2019-01-01,2.79947
2019-02-01,2.80045
2019-03-01,2.8529
2019-04-01,2.79673
2019-05-01,2.85636
2019-06-01,2.84822
2019-07-01,2.83902
2019-08-01,2.85336
2019-09-01,2.84264
2019-10-01,2.80518
2019-11-01,2.8389
2019-12-01,2.8348
2020-01-01,2.7985
2020-02-01,2.81355
2020-03-01,2.43747
2020-04-01,2.14838
2020-05-01,2.50504
2020-06-01,2.57885
2020-07-01,2.69476
2020-08-01,2.75085
2020-09-01,2.78963
2020-10-01,2.77956
2020-11-01,2.76191
2020-12-01,2.80087
2021-01-01,2.78575
2021-02-01,2.75245
2021-03-01,2.88748
2021-04-01,2.89541
2021-05-01,2.83527
2021-06-01,2.74618
2021-07-01,2.6909
