date,value
2000-01-01,4.95864
2000-02-01,4.95723
2000-03-01,4.96074
2000-04-01,4.96284
2000-05-01,4.96424
2000-06-01,4.96424
2000-07-01,4.96494
2000-08-01,4.96424
2000-09-01,4.96074
2000-10-01,4.95723
2000-11-01,4.95794
2000-12-01,4.96004
2001-01-01,4.95934
2001-02-01,4.95864
2001-03-01,4.95794
2001-04-01,4.95794
2001-05-01,4.95723
2001-06-01,4.95653
2001-07-01,4.95653
2001-08-01,4.95301
2001-09-01,4.95159
2001-10-01,4.95301
2001-11-01,4.95723
2001-12-01,4.95934
2002-01-01,4.9523
2002-02-01,4.94307
2002-03-01,4.94236
2002-04-01,4.94164
2002-05-01,4.94021
2002-06-01,4.93878
2002-07-01,4.93878
2002-08-01,4.93735
2002-09-01,4.94093
2002-10-01,4.94164
2002-11-01,4.94236
2002-12-01,4.94021
2003-01-01,4.93087
2003-02-01,4.9287
2003-03-01,4.93231
2003-04-01,4.92943
2003-05-01,4.92798
2003-06-01,4.9258
2003-07-01,4.92435
2003-08-01,4.92725
2003-09-01,4.92435
2003-10-01,4.92071
2003-11-01,4.92144
2003-12-01,4.92144
2004-01-01,4.91852
2004-02-01,4.92217
2004-03-01,4.92217
2004-04-01,4.92217
2004-05-01,4.92362
2004-06-01,4.92508
2004-07-01,4.91852
2004-08-01,4.91192
2004-09-01,4.91265
2004-10-01,4.91559
2004-11-01,4.92435
2004-12-01,4.92798
2005-01-01,4.93087
2005-02-01,4.93159
2005-03-01,4.92943
2005-04-01,4.92943
2005-05-01,4.93231
2005-06-01,4.93159
2005-07-01,4.92217
2005-08-01,4.91632
2005-09-01,4.92071
2005-10-01,4.92508
2005-11-01,4.92508
2005-12-01,4.92362
2006-01-01,4.92725
2006-02-01,4.92798
2006-03-01,4.92653
2006-04-01,4.92653
2006-05-01,4.92508
2006-06-01,4.92508
2006-07-01,4.9258
2006-08-01,4.92435
2006-09-01,4.92435
2006-10-01,4.9229
2006-11-01,4.91706
2006-12-01,4.91559
2007-01-01,4.91586
2007-02-01,4.91413
2007-03-01,4.91619
2007-04-01,4.9169
2007-05-01,4.91503
2007-06-01,4.91391
2007-07-01,4.91439
2007-08-01,4.91587
2007-09-01,4.91303
2007-10-01,4.91141
2007-11-01,4.91379
2007-12-01,4.91338
2008-01-01,4.91211
2008-02-01,4.90827
2008-03-01,4.90493
2008-04-01,4.90324
2008-05-01,4.90265
2008-06-01,4.90275
2008-07-01,4.90395
2008-08-01,4.89905
2008-09-01,4.89407
2008-10-01,4.88979
2008-11-01,4.88656
2008-12-01,4.88332
2009-01-01,4.88786
2009-02-01,4.89346
2009-03-01,4.89684
2009-04-01,4.90057
2009-05-01,4.90518
2009-06-01,4.91066
2009-07-01,4.91484
2009-08-01,4.90358
2009-09-01,4.90915
2009-10-01,4.92646
2009-11-01,4.93496
2009-12-01,4.93396
2010-01-01,4.92958
2010-02-01,4.9281
2010-03-01,4.92638
2010-04-01,4.92463
2010-05-01,4.92349
2010-06-01,4.92296
2010-07-01,4.92351
2010-08-01,4.92567
2010-09-01,4.92916
2010-10-01,4.93045
2010-11-01,4.93065
2010-12-01,4.93215
2011-01-01,4.93403
2011-02-01,4.93968
2011-03-01,4.94464
2011-04-01,4.94789
2011-05-01,4.95593
2011-06-01,4.96079
2011-07-01,4.96184
2011-08-01,4.96178
2011-09-01,4.96242
2011-10-01,4.96351
2011-11-01,4.96309
2011-12-01,4.96398
2012-01-01,4.9661
2012-02-01,4.96869
2012-03-01,4.96913
2012-04-01,4.9691
2012-05-01,4.96941
2012-06-01,4.97032
2012-07-01,4.97072
2012-08-01,4.97197
2012-09-01,4.9723
2012-10-01,4.9736
2012-11-01,4.9769
2012-12-01,4.97892
2013-01-01,4.9804
2013-02-01,4.97757
2013-03-01,4.97853
2013-04-01,4.97934
2013-05-01,4.97934
2013-06-01,4.98261
2013-07-01,4.98377
2013-08-01,4.98406
2013-09-01,4.98621
2013-10-01,4.9852
2013-11-01,4.98478
2013-12-01,4.98389
2014-01-01,4.98103
2014-02-01,4.98103
2014-03-01,4.98118
2014-04-01,4.98351
2014-05-01,4.98457
2014-06-01,4.98428
2014-07-01,4.98535
2014-08-01,4.98678
2014-09-01,4.98851
2014-10-01,4.98994
2014-11-01,4.99015
2014-12-01,4.98966
2015-01-01,4.98432
2015-02-01,4.98577
2015-03-01,4.9882
2015-04-01,4.9906
2015-05-01,4.99265
2015-06-01,4.99375
2015-07-01,4.99357
2015-08-01,4.99322
2015-09-01,4.99458
2015-10-01,4.9937
2015-11-01,4.9936
2015-12-01,4.99228
2016-01-01,4.98843
2016-02-01,4.99297
2016-03-01,4.99344
2016-04-01,4.99188
2016-05-01,4.99162
2016-06-01,4.99075
2016-07-01,4.99249
2016-08-01,4.99271
2016-09-01,4.99371
2016-10-01,4.99575
2016-11-01,4.99543
2016-12-01,4.99509
2017-01-01,4.99833
2017-02-01,4.99913
2017-03-01,4.99757
2017-04-01,4.99821
2017-05-01,4.99577
2017-06-01,4.99109
2017-07-01,4.98496
2017-08-01,4.98427
2017-09-01,4.98187
2017-10-01,4.98
2017-11-01,4.98293
2017-12-01,4.989
2018-01-01,4.99577
2018-02-01,4.99305
2018-03-01,4.99366
2018-04-01,4.98336
2018-05-01,4.98214
2018-06-01,4.98202
2018-07-01,4.97994
2018-08-01,4.98011
2018-09-01,4.97972
2018-10-01,4.97988
2018-11-01,4.98486
2018-12-01,4.99234
2019-01-01,4.99581
2019-02-01,4.99556
2019-03-01,5.00026
2019-04-01,4.99509
2019-05-01,4.9914
2019-06-01,4.98837
2019-07-01,4.98416
2019-08-01,4.98252
2019-09-01,4.98058
2019-10-01,4.98084
2019-11-01,4.98428
2019-12-01,4.99258
2020-01-01,4.99638
2020-02-01,4.99877
2020-03-01,4.99498
2020-04-01,4.98933
2020-05-01,4.98872
2020-06-01,4.98668
2020-07-01,4.99017
2020-08-01,4.98974
2020-09-01,4.99136
