date,value
2000-01-01,9.19013
2000-02-01,9.194
2000-03-01,9.19665
2000-04-01,9.20167
2000-05-01,9.20578
2000-06-01,9.20857
2000-07-01,9.21392
2000-08-01,9.22012
2000-09-01,9.22131
2000-10-01,9.22416
2000-11-01,9.22459
2000-12-01,9.22664
2001-01-01,9.23129
2001-02-01,9.23243
2001-03-01,9.23546
2001-04-01,9.23338
2001-05-01,9.23158
2001-06-01,9.23192
2001-07-01,9.24674
2001-08-01,9.26323
2001-09-01,9.25463
2001-10-01,9.23676
2001-11-01,9.23793
2001-12-01,9.23979
2002-01-01,9.26053
2002-02-01,9.26214
2002-03-01,9.26284
2002-04-01,9.26617
2002-05-01,9.27016
2002-06-01,9.27315
2002-07-01,9.27059
2002-08-01,9.27078
2002-09-01,9.27177
2002-10-01,9.27442
2002-11-01,9.27715
2002-12-01,9.27986
2003-01-01,9.27897
2003-02-01,9.27557
2003-03-01,9.27767
2003-04-01,9.28291
2003-05-01,9.29026
2003-06-01,9.2929
2003-07-01,9.30484
2003-08-01,9.3117
2003-09-01,9.30025
2003-10-01,9.30404
2003-11-01,9.31004
2003-12-01,9.31084
2004-01-01,9.31029
2004-02-01,9.31208
2004-03-01,9.3161
2004-04-01,9.31949
2004-05-01,9.32446
2004-06-01,9.32508
2004-07-01,9.32728
2004-08-01,9.33031
2004-09-01,9.33075
2004-10-01,9.33101
2004-11-01,9.32778
2004-12-01,9.36383
2005-01-01,9.32603
2005-02-01,9.32625
2005-03-01,9.32979
2005-04-01,9.33293
2005-05-01,9.33721
2005-06-01,9.33922
2005-07-01,9.34024
2005-08-01,9.34183
2005-09-01,9.33831
2005-10-01,9.34388
2005-11-01,9.35011
2005-12-01,9.35316
2006-01-01,9.36322
2006-02-01,9.36758
2006-03-01,9.3714
2006-04-01,9.37113
2006-05-01,9.37048
2006-06-01,9.37177
2006-07-01,9.37134
2006-08-01,9.3705
2006-09-01,9.37586
2006-10-01,9.3804
2006-11-01,9.38445
2006-12-01,9.38921
2007-01-01,9.38904
2007-02-01,9.39233
2007-03-01,9.39558
2007-04-01,9.39705
2007-05-01,9.39764
2007-06-01,9.39709
2007-07-01,9.39818
2007-08-01,9.39855
2007-09-01,9.4001
2007-10-01,9.39934
2007-11-01,9.39849
2007-12-01,9.40265
2008-01-01,9.40402
2008-02-01,9.40441
2008-03-01,9.40475
2008-04-01,9.40103
2008-05-01,9.44906
2008-06-01,9.42356
2008-07-01,9.40826
2008-08-01,9.40266
2008-09-01,9.405
2008-10-01,9.41251
2008-11-01,9.42108
2008-12-01,9.41644
2009-01-01,9.42234
2009-02-01,9.41262
2009-03-01,9.41269
2009-04-01,9.41898
2009-05-01,9.43349
2009-06-01,9.41517
2009-07-01,9.41072
2009-08-01,9.40876
2009-09-01,9.4117
2009-10-01,9.40863
2009-11-01,9.41119
2009-12-01,9.41574
2010-01-01,9.4162
2010-02-01,9.4167
2010-03-01,9.42063
2010-04-01,9.42924
2010-05-01,9.4367
2010-06-01,9.43702
2010-07-01,9.43781
2010-08-01,9.44077
2010-09-01,9.44065
2010-10-01,9.44086
2010-11-01,9.44186
2010-12-01,9.44783
2011-01-01,9.45251
2011-02-01,9.45537
2011-03-01,9.45271
2011-04-01,9.45103
2011-05-01,9.44977
2011-06-01,9.45383
2011-07-01,9.45764
2011-08-01,9.45718
2011-09-01,9.45577
2011-10-01,9.45657
2011-11-01,9.45585
2011-12-01,9.46487
2012-01-01,9.4702
2012-02-01,9.47498
2012-03-01,9.4778
2012-04-01,9.48163
2012-05-01,9.48132
2012-06-01,9.48015
2012-07-01,9.47269
2012-08-01,9.46975
2012-09-01,9.47678
2012-10-01,9.48357
2012-11-01,9.4967
2012-12-01,9.52096
2013-01-01,9.46075
2013-02-01,9.45829
2013-03-01,9.46126
2013-04-01,9.46447
2013-05-01,9.46918
2013-06-01,9.46929
2013-07-01,9.46822
2013-08-01,9.47036
2013-09-01,9.47482
2013-10-01,9.47075
2013-11-01,9.47262
2013-12-01,9.47417
2014-01-01,9.4788
2014-02-01,9.48402
2014-03-01,9.48948
2014-04-01,9.49328
2014-05-01,9.49649
2014-06-01,9.50005
2014-07-01,9.50202
2014-08-01,9.50643
2014-09-01,9.50943
2014-10-01,9.51419
2014-11-01,9.51962
2014-12-01,9.52654
2015-01-01,9.53226
2015-02-01,9.5359
2015-03-01,9.53324
2015-04-01,9.53546
2015-05-01,9.53717
2015-06-01,9.53778
2015-07-01,9.54005
2015-08-01,9.54222
2015-09-01,9.54482
2015-10-01,9.54659
2015-11-01,9.54634
2015-12-01,9.5511
2016-01-01,9.55543
2016-02-01,9.55643
2016-03-01,9.55644
2016-04-01,9.55437
2016-05-01,9.55361
2016-06-01,9.55428
2016-07-01,9.55818
2016-08-01,9.55936
2016-09-01,9.56164
2016-10-01,9.56349
2016-11-01,9.56617
2016-12-01,9.56897
2017-01-01,9.57316
2017-02-01,9.57615
2017-03-01,9.58027
2017-04-01,9.58255
2017-05-01,9.58951
2017-06-01,9.59006
2017-07-01,9.59289
2017-08-01,9.59413
2017-09-01,9.59601
2017-10-01,9.5989
2017-11-01,9.60043
2017-12-01,9.60224
2018-01-01,9.60822
2018-02-01,9.61053
2018-03-01,9.61412
2018-04-01,9.61629
2018-05-01,9.61965
2018-06-01,9.62373
2018-07-01,9.62804
2018-08-01,9.63159
2018-09-01,9.63151
2018-10-01,9.63391
2018-11-01,9.6366
2018-12-01,9.64901
2019-01-01,9.65093
2019-02-01,9.65248
2019-03-01,9.65288
2019-04-01,9.6508
2019-05-01,9.65068
2019-06-01,9.65259
2019-07-01,9.65383
2019-08-01,9.65914
2019-09-01,9.66126
2019-10-01,9.66257
2019-11-01,9.66567
2019-12-01,9.66038
2020-01-01,9.67047
2020-02-01,9.67409
2020-03-01,9.66156
2020-04-01,9.79898
2020-05-01,9.74742
2020-06-01,9.74392
2020-07-01,9.75283
2020-08-01,9.71366
2020-09-01,9.71919
2020-10-01,9.71557
2020-11-01,9.70393
2020-12-01,9.7049
2021-01-01,9.80885
2021-02-01,9.723
2021-03-01,9.92916
2021-04-01,9.76541
2021-05-01,9.73639
2021-06-01,9.7314
2021-07-01,9.73798
2021-08-01,9.73608
2021-09-01,9.72487
2021-10-01,9.72517
2021-11-01,9.72235
2021-12-01,9.71781
2022-01-01,9.69314
2022-02-01,9.69324
2022-03-01,9.68826
2022-04-01,9.68816
2022-05-01,9.68676
2022-06-01,9.68427
2022-07-01,9.6971
2022-08-01,9.70304
2022-09-01,9.70649
2022-10-01,9.70968
2022-11-01,9.71128
2022-12-01,9.71584
2023-01-01,9.73548
2023-02-01,9.74086
2023-03-01,9.74676
2023-04-01,9.7489
2023-05-01,9.75247
2023-06-01,9.75361
2023-07-01,9.7556
2023-08-01,9.75703
2023-09-01,9.75743
2023-10-01,9.76085
2023-11-01,9.76578
2023-12-01,9.76891
2024-01-01,9.77426
2024-02-01,9.77544
2024-03-01,9.77662
2024-04-01,9.77784
2024-05-01,9.78207
2024-06-01,9.7842
2024-07-01,9.78376
2024-08-01,9.7843
2024-09-01,9.78526
2024-10-01,9.78754
2024-11-01,9.78984
2024-12-01,9.79076
2025-01-01,9.79199
2025-02-01,9.79314
2025-03-01,9.79974
2025-04-01,9.80548
2025-05-01,9.79707
2025-06-01,9.79602
2025-07-01,9.79865
2025-08-01,9.79966
2025-09-01,9.80023
2025-10-01,9.79917
2025-11-01,9.79986
