Brand,Q4_2025_units,Q4_2024_units,YTD_2025_units,YTD_2024_units,YTD_YoY_pct
Acura,34150,35243,134751,132267,1.878019461
Alfa Romeo,875,2039,5655,8868,-36.23139378
Audi,36231,56900,164949,197035,-16.28441647
Bentley,0,0,200,0,
BMW,113510,116511,387393,370360,4.599038773
Buick,31260,46185,188096,183365,2.580099801
Cadillac,40886,49085,174820,160199,9.126773575
Chevrolet,445262,479768,1819457,1740403,4.542281299
Chrysler,35641,27629,126381,124686,1.35941485
Dodge,28328,22434,101915,141729,-28.09163968
Fiat,84,743,1321,1530,-13.66013072
Ford,514324,497092,2086811,2140185,-2.493896556
Genesis,23501,23065,81017,74930,8.12358201
GMC,171635,178649,654054,612397,6.802286752
Honda,298428,332119,1297144,1291490,0.43778891
Hyundai,174829,212998,853178,823492,3.604892337
INEOS,0,1800,0,2700,-100
Infiniti,14203,15503,52846,58069,-8.994472094
Jaguar,0,2800,5564,11563,-51.88099974
Jeep,143673,138574,593633,587722,1.005747615
Kia,232567,212318,868715,793578,9.468130417
Lamborghini,0,0,420,0,
Land Rover,0,27998,78500,87714,-10.50459448
Lexus,98685,97469,358055,345672,3.582297669
Lincoln,28045,30293,106868,112425,-4.942850789
Lucid,0,1150,4700,3449,36.27138301
Mazda,90680,110930,410344,424382,-3.307868854
Mercedes-Benz,67616,94723,284703,375982,-24.27749201
Mini,6011,8750,27874,26273,6.09370837
Mitsubishi,21355,27125,94752,109847,-13.74184092
Nissan,200050,207067,867758,860018,0.899981163
Polestar,0,1776,3026,13079,-76.86367459
Porsche,19123,22084,66952,74393,-10.00228516
Ram,123969,129320,437392,439037,-0.374683683
Rivian,0,8502,30351,54523,-44.33358399
Rolls Royce,0,0,220,0,
Seat,0,0,23279,0,
Subaru,160554,174113,643591,667725,-3.6143622
Tesla,140001,151900,544502,516597,5.4016961
Toyota,552470,505633,2148764,1986934,8.144709386
VinFast,0,0,1755,0,
Volkswagen,82796,105002,331804,378332,-12.29819312
Volvo,30928,35696,120693,127145,-5.074521216
Total,3961670,4190986,16184203,16060095,0.772772515
